maquina,datetime,RPM rotor,Aceleration_CHUMACERA B,Velocity_CHUMACERA B,Envelope_CHUMACERA B,Aceleration_CHUMACERA A,Velocity_CHUMACERA A,Envelope_CHUMACERA A,FRICCION LL_CHUMACERA B,DESBALANCE MTR_CHUMACERA B,DESALINEACION MTR-RED_CHUMACERA B,IMPACTOS_CHUMACERA B,RODAMIENTO MTR LL_CHUMACERA B,FRICCION LA_CHUMACERA A,DESBALANCE MTR_CHUMACERA A,DESALINEACION MTR-RED_CHUMACERA A,IMPACTOS_CHUMACERA A,RODAMIENTO MTR LA_CHUMACERA A
ROTOR DESFIBRADORA,2026-04-05 16:10:04+00:00,0.0,0.460412,2.43406,1.62528,0.54226,1.71937,0.988549,,,,,,0.111647,,,,
ROTOR DESFIBRADORA,2026-04-05 16:10:10+00:00,,,,,,,,0.138133,,,,,,,,,
ROTOR DESFIBRADORA,2026-04-05 16:10:12+00:00,,,,,,,,,1.10708,0.0,,,,0.419867,0.00605729,,
ROTOR DESFIBRADORA,2026-04-05 16:10:14+00:00,0.0,0.437537,2.30989,1.27171,0.53537,1.65362,1.01171,,,,,,,,,,
ROTOR DESFIBRADORA,2026-04-05 16:10:21+00:00,,,,,,,,,,,0.231263,0.0196344,,,,0.43363,0.0138446
ROTOR DESFIBRADORA,2026-04-05 16:10:24+00:00,0.0,0.470603,2.28963,0.964002,0.55569,1.72699,1.01766,,,,,,,,,,
ROTOR DESFIBRADORA,2026-04-05 16:10:27+00:00,,,,,,,,,,,,,0.124432,,,,
ROTOR DESFIBRADORA,2026-04-05 16:10:34+00:00,0.0,0.454834,2.35619,2.74966,0.533735,1.74672,0.799289,0.138957,,,,,,,,,
ROTOR DESFIBRADORA,2026-04-05 16:10:36+00:00,,,,,,,,,1.20298,0.0213252,,,,0.483418,0.0135425,,
ROTOR DESFIBRADORA,2026-04-05 16:10:44+00:00,0.0,0.444053,2.22439,0.807921,0.540517,1.58341,0.956327,,,,,,,,,,
ROTOR DESFIBRADORA,2026-04-05 16:10:45+00:00,,,,,,,,,,,0.270376,0.0111471,,,,0.380312,0.0288116
ROTOR DESFIBRADORA,2026-04-05 16:10:51+00:00,,,,,,,,,,,,,0.116,,,,
ROTOR DESFIBRADORA,2026-04-05 16:10:54+00:00,0.0,0.425388,2.27384,0.904734,0.544405,1.67782,1.4328,,,,,,,,,,
ROTOR DESFIBRADORA,2026-04-05 16:10:57+00:00,,,,,,,,0.141188,,,,,,,,,
ROTOR DESFIBRADORA,2026-04-05 16:10:59+00:00,,,,,,,,,1.21038,0.0125899,,,,0.410097,0.00900413,,
