Maquina,timestamp,aceleracion_chum_la_h,velocidad_chum_la_h,envolvente_chum_la_h,aceleracion_chum_la_a,velocidad_chum_la_a,envolvente_chum_la_a,aceleracion_chum_lb_h,velocidad_chum_lb_h,envolvente_chum_lb_h,desbalance_lado_a,desalineacion_rad_lado_a,soltura_lado_a,rodamiento_chum_lado_a,desalineacion_ang_lado_a,desbalance_lado_b,desalineacion_lado_b,soltura_lado_b,rodamiento_chum_lado_b,corriente_motor_a,corriente_motor_b,temp_chum_lado_a,temp_chum_lado_b
DESFIBRADORA,2025-07-07 23:13:43-05:00,0.358914,2.57417,0.691553,0.266218,2.99777,0.513599,0.201246,2.73508,0.130349,1.3164101,1.4586473,1.1041031,0.40006068,1.1328673,0.85318315,0.024601819,1.6380564,0.30025157,145.0,144.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:13:53-05:00,0.370553,2.27205,1.06534,0.236996,2.58896,0.457409,0.146952,1.99504,0.168927,1.3118,1.4442755,1.1902648,0.44335476,1.1246555,0.85666764,0.021592563,1.6526372,0.33554345,164.0,163.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:14:03-05:00,0.330472,2.33899,0.528284,0.233508,2.46866,0.526801,0.138059,1.8891,0.113155,1.3071901,1.4299036,1.2764266,0.48664883,1.1164436,0.86015207,0.018583309,1.6672182,0.3708353,129.0,128.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:14:13-05:00,0.366326,2.3613,1.29438,0.251084,2.69347,0.507427,0.1743,2.31999,0.120302,1.30258,1.4155319,1.3625883,0.5299429,1.1082319,0.86363655,0.015574055,1.681799,0.40612715,151.0,148.0,52.0,49.5
DESFIBRADORA,2025-07-07 23:14:23-05:00,0.322097,2.33111,0.980151,0.211075,2.60765,0.433581,0.165784,2.32368,0.126588,1.29797,1.40116,1.44875,0.573237,1.10002,0.867121,0.0125648,1.69638,0.441419,138.0,137.0,52.0,50.0
DESFIBRADORA,2025-07-07 23:14:33-05:00,0.360653,2.55895,1.36486,0.257792,2.61028,0.488429,0.159793,2.17584,0.127179,1.29797,1.40116,1.44875,0.573237,1.10002,0.867121,0.0125648,1.69638,0.441419,141.0,136.0,51.5,49.5
DESFIBRADORA,2025-07-07 23:14:43-05:00,0.332104,2.08123,0.917379,0.21883,2.61423,0.402131,0.119361,1.66719,0.0938664,1.3009046,1.3753009,1.4157536,0.52112454,1.0681738,0.85953665,0.01479449,1.7480891,0.46165863,129.0,127.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:14:53-05:00,0.352198,2.27966,0.735648,0.226128,2.67557,0.452364,0.158933,2.13578,0.102195,1.3038391,1.3494418,1.3827573,0.46901208,1.0363275,0.85195225,0.017024182,1.7997983,0.48189828,129.0,128.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:15:03-05:00,0.356747,2.18885,1.03249,0.244214,2.48156,0.500289,0.14225,1.92995,0.128737,1.3067737,1.3235828,1.3497609,0.41689965,1.0044812,0.8443679,0.019253872,1.8515073,0.5021379,147.0,146.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:15:13-05:00,0.378741,2.57496,0.909513,0.256021,2.93144,0.447963,0.182575,2.63757,0.13497,1.3097082,1.2977237,1.3167646,0.3647872,0.9726349,0.8367835,0.021483563,1.9032164,0.52237755,158.0,155.0,52.0,50.0
DESFIBRADORA,2025-07-07 23:15:23-05:00,0.377697,2.9112,0.923426,0.26434,3.06911,0.50528,0.188324,2.66682,0.18064,1.3126428,1.2718645,1.2837682,0.31267473,0.9407886,0.8291992,0.023713255,1.9549255,0.5426172,160.0,157.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:15:33-05:00,0.348559,2.53532,0.989729,0.246227,2.545,0.635585,0.147032,2.05908,0.123364,1.3155773,1.2460054,1.2507719,0.26056227,0.9089424,0.8216148,0.025942946,2.0066347,0.5628568,147.0,146.0,51.5,49.0
DESFIBRADORA,2025-07-07 23:15:43-05:00,0.403892,2.76421,1.21903,0.293347,3.09096,0.725371,0.193616,2.67104,0.150605,1.3185118,1.2201463,1.2177755,0.20844983,0.8770961,0.81403047,0.028172636,2.0583436,0.58309644,182.0,181.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:15:53-05:00,0.406354,2.9511,1.38642,0.316693,3.42817,0.580576,0.223356,3.01549,0.190795,1.3214464,1.1942872,1.1847792,0.15633737,0.84524983,0.8064461,0.030402327,2.1100528,0.6033361,199.0,197.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:16:03-05:00,0.346472,2.74793,1.17745,0.25425,2.74848,0.556372,0.207801,2.79332,0.132391,1.324381,1.1684282,1.1517828,0.10422491,0.81340355,0.79886174,0.03263202,2.161762,0.62357575,151.0,150.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:16:13-05:00,0.380828,2.45264,0.946384,0.273624,2.66109,0.717911,0.162721,2.20693,0.131639,1.3273154,1.1425691,1.1187865,0.052112456,0.78155726,0.79127735,0.03486171,2.213471,0.64381534,182.0,181.0,52.0,49.5
DESFIBRADORA,2025-07-07 23:16:43-05:00,0.359556,2.21299,1.08199,0.217703,2.51683,0.467767,0.116191,1.66719,0.115251,1.33507,1.169829,1.186901,0.06074064,0.80195814,0.7868025,0.03698421,2.2281227,0.65852654,122.0,121.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:16:53-05:00,0.370794,2.48466,0.943547,0.264769,3.04542,0.508715,0.163339,2.30102,0.146844,1.33989,1.2229482,1.2880118,0.12148128,0.85420537,0.7899119,0.036877017,2.1910655,0.6529981,137.0,136.0,51.5,49.5
DESFIBRADORA,2025-07-07 23:17:03-05:00,0.339275,2.61223,0.895974,0.228758,2.71058,0.46138,0.147086,2.17689,0.117991,1.34471,1.2760673,1.3891227,0.18222192,0.90645254,0.7930214,0.03676983,2.1540084,0.64746964,115.0,114.0,52.0,50.0
DESFIBRADORA,2025-07-07 23:17:13-05:00,0.356506,2.42219,0.895814,0.237721,2.6882,0.507535,0.154259,2.19639,0.112403,1.34953,1.3291863,1.4902337,0.24296255,0.9586997,0.79613084,0.03666264,2.116951,0.6419412,135.0,134.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:17:23-05:00,0.328786,2.5012,0.92744,0.225619,2.545,0.440128,0.127125,1.86222,0.109878,1.35435,1.3823054,1.5913446,0.3037032,1.0109469,0.7992403,0.036555447,2.0798936,0.63641274,116.0,115.0,52.0,50.0
DESFIBRADORA,2025-07-07 23:17:33-05:00,0.336706,2.44477,1.11554,0.211799,2.65503,0.408464,0.139967,1.99293,0.0959619,1.3591701,1.4354246,1.6924554,0.36444384,1.063194,0.80234975,0.036448255,2.0428364,0.63088423,125.0,122.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:17:43-05:00,0.340291,2.35552,0.893084,0.215449,2.63687,0.43401,0.183408,2.50764,0.10112,1.3639901,1.4885436,1.7935663,0.42518446,1.1154412,0.8054592,0.036341064,2.0057793,0.6253558,113.0,113.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:17:53-05:00,0.337188,2.61171,0.674268,0.199268,2.62503,0.402024,0.153346,2.2744,0.103108,1.36881,1.5416627,1.8946773,0.4859251,1.1676885,0.80856866,0.036233872,1.9687219,0.61982733,132.0,131.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:18:03-05:00,0.334004,2.19436,0.667097,0.217246,2.41628,0.530504,0.143459,1.97027,0.129812,1.37363,1.5947818,1.9957882,0.5466657,1.2199357,0.8116781,0.036126684,1.9316646,0.6142989,141.0,138.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:18:13-05:00,0.349656,2.51669,0.756518,0.22527,2.67583,0.402507,0.137791,1.93337,0.101066,1.37845,1.6479009,2.096899,0.6074064,1.2721828,0.81478757,0.036019493,1.8946073,0.60877043,131.0,130.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:18:23-05:00,0.316746,1.86862,1.02125,0.198087,2.19726,0.533671,0.114875,1.62028,0.0963917,1.38327,1.70102,2.19801,0.668147,1.32443,0.817897,0.0359123,1.85755,0.603242,124.0,123.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:18:33-05:00,0.360091,2.53611,0.986358,0.249474,2.56474,0.580952,0.16162,2.13051,0.125728,1.38327,1.70102,2.19801,0.668147,1.32443,0.817897,0.0359123,1.85755,0.603242,135.0,134.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:18:43-05:00,0.355677,2.49123,1.13213,0.242631,2.65267,0.659467,0.17516,2.39827,0.171668,1.3738592,1.65297,2.134159,0.6139345,1.2647922,0.8138304,0.03964401,1.7540637,0.554115,127.0,127.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:18:53-05:00,0.320866,2.80909,0.854929,0.21298,2.71295,0.408679,0.135722,1.83902,0.124331,1.3644482,1.60492,2.0703082,0.559722,1.2051545,0.8097637,0.04337572,1.6505774,0.50498796,122.0,121.0,52.0,50.0
DESFIBRADORA,2025-07-07 23:19:03-05:00,0.329937,2.11089,1.20967,0.183463,2.33046,0.387963,0.108508,1.52936,0.0961231,1.3550373,1.55687,2.0064573,0.5055095,1.1455169,0.8056971,0.04710743,1.5470912,0.45586097,107.0,108.0,52.0,50.0
DESFIBRADORA,2025-07-07 23:19:13-05:00,0.338686,2.0059,0.914276,0.210806,2.39337,0.445226,0.152593,2.06488,0.113961,1.3456264,1.5088199,1.9426063,0.45129701,1.0858791,0.80163044,0.050839137,1.443605,0.406734,120.0,121.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:19:23-05:00,0.345108,2.11141,1.02826,0.208794,2.43602,0.416783,0.13548,1.9028,0.107621,1.3362155,1.46077,1.8787555,0.3970845,1.0262413,0.7975638,0.054570846,1.3401186,0.35760698,129.0,128.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:19:33-05:00,0.356774,2.91934,0.694657,0.251889,3.11202,0.561417,0.216666,2.93985,0.134701,1.3268045,1.41272,1.8149046,0.34287202,0.96660364,0.7934972,0.058302555,1.2366323,0.30848,134.0,132.0,51.5,49.5
