Fecha,RPM_BPC-501\RPM [RPM],Motor LL_501\MLL - X\Velocidad Rms [mm/s],Motor LL_501\MLL - X\Aceleración Rms [g],Motor LA_501\MLA - X\Velocidad Rms [mm/s],Motor LA_501\MLA - X\Aceleración Rms [g],Motor LA_501\MLA - Y\Velocidad Rms [mm/s],Motor LA_501\MLA - Y\Aceleración Rms [g],Motor LA_501\MLA - Z\Velocidad Rms [mm/s],Motor LA_501\MLA - Z\Aceleración Rms [g],Motor LL_502\MLL _X\Velocidad Rms [mm/s],Motor LL_502\MLL _X\Aceleración Rms [g],Motor LA_502\MLA_X\Velocidad Rms [mm/s],Motor LA_502\MLA_X\Aceleración Rms [g],Motor LA_502\MLA_Y\Velocidad Rms [mm/s],Motor LA_502\MLA_Y\Aceleración Rms [g],Motor LA_502\MLA_Z\Velocidad Rms [mm/s],Motor LA_502\MLA_Z\Aceleración Rms [g],Motor LL_502\MLL_Y\Velocidad Rms [mm/s],Motor LL_502\MLL_Y\Aceleración Rms [g],Motor LL_501\MLL - Y\Velocidad Rms [mm/s],Motor LL_501\MLL - Y\Aceleración Rms [g]
2026-01-29 23:59:11,1196.212,1.27798212,0.984870434,0.876670837,2.51998138,0.824762762,2.5618546,0.5113053,1.48061526,0.745533,0.436452627,0.9017957,1.295048,0.6981127,1.4195112,0.338584065,0.369787157,0.631358445,0.5977388,1.625986,0.8545467
2026-01-29 23:59:12,1196.3114,1.27346873,0.991774142,0.899022162,2.50648761,0.8544359,2.60896158,0.5917671,1.44506729,0.7759072,0.4280946,0.9057065,1.37086678,0.7023297,1.43304324,0.317923635,0.375072271,0.5902069,0.585431933,1.67528343,0.859684646
2026-01-29 23:59:13,1196.01331,1.272831,0.995259166,0.898448646,2.59810472,0.792905867,2.73365116,0.5421159,1.52306926,0.770386,0.433368355,0.9126306,1.42701781,0.704136252,1.42026389,0.327852875,0.38890636,0.6421105,0.594875634,1.68574393,0.881885469
2026-01-29 23:59:14,1196.3114,1.25603676,1.00328279,0.929601252,2.615008,0.898344636,2.77155018,0.6584829,1.55013216,0.7953674,0.432632744,0.9069652,1.45928681,0.7208216,1.42966056,0.3746947,0.373575628,0.634854734,0.582859755,1.676291,0.8697941
2026-01-29 23:59:16,1196.01331,1.31237841,0.9946258,0.9168867,2.93841553,0.8184615,3.00606346,0.5731478,1.64784539,0.8169456,0.432060748,0.9126717,1.37058151,0.7209224,1.46190381,0.411202341,0.3780808,0.675905764,0.5847742,1.72413647,0.8685719
2026-01-29 23:59:17,1196.11267,1.32693291,1.00309515,0.93983525,3.03515363,0.840832233,3.16879869,0.595022261,1.65794492,0.7224308,0.430112749,0.9087934,1.33679,0.7109931,1.3331064,0.352605879,0.380210549,0.6460858,0.5931516,1.69469273,0.854349256
2026-01-29 23:59:18,1195.8147,1.33061,0.9927973,0.9311937,2.86375451,0.817598164,3.16037035,0.5659876,1.64713836,0.775576353,0.433266073,0.9117301,1.36501765,0.681009531,1.4193548,0.349506855,0.384689361,0.647569239,0.5874123,1.67331779,0.866972446
2026-01-29 23:59:19,1195.8147,1.330092,0.9891877,0.9696001,2.87160373,0.857856154,3.17372417,0.5719428,1.62642467,0.742834032,0.431258082,0.921449065,1.34766507,0.684031963,1.44931638,0.3242086,0.370784938,0.6275051,0.5892357,1.747922,0.8712857
2026-01-29 23:59:20,1195.8147,1.32283306,0.995873451,0.9156399,2.78588438,0.8402346,3.14569473,0.535698652,1.63006127,0.8414165,0.428336322,0.906457543,1.35210657,0.697705865,1.34373987,0.336420923,0.3819075,0.6268994,0.591145933,1.73331952,0.8725967
2026-01-29 23:59:21,1195.8147,1.28177679,0.9911695,0.9474635,2.49538875,0.8547847,3.00149345,0.56714046,1.6096313,0.825176954,0.430422276,0.9094308,1.3236593,0.6901722,1.32461739,0.328398466,0.376515,0.5856179,0.5971446,1.76622844,0.8656542
2026-01-29 23:59:22,1195.4176,1.28973329,0.986873865,0.9234577,2.531725,0.806107,2.992469,0.5521039,1.59694111,0.7769711,0.43404603,0.91544354,1.38041365,0.7066187,1.45176482,0.347278833,0.361635864,0.671480238,0.600232661,1.71607673,0.8735068
