Maquina,timestamp_grid,aceleracion_chum_la_h,velocidad_chum_la_h,envolvente_chum_la_h,aceleracion_chum_la_a,velocidad_chum_la_a,envolvente_chum_la_a,aceleracion_chum_ll_h,velocidad_chum_ll_h,envolvente_chum_ll_h,desbalance_la,desalineacion_rad_la,soltura_chum_la,rodamiento_chum_la,desalineacion_ang_la,desbalance_ll,soltura_chum_ll,rodamiento_chum_ll,corriente_picadora,temperatura_lado_der,temperatura_lado_izq
PICADORA,2025-07-14 10:21:01-05:00,0.455315,3.4399,2.19179,0.302457,1.98632,1.44027,0.513138,4.74692,1.83091,0.84861624,0.22660391,3.772361,2.907151,0.12782794,0.778799,2.98831,1.38847,258.0,50.0,51.5
PICADORA,2025-07-14 10:21:11-05:00,0.364386,1.33381,1.81638,0.198937,1.20084,0.903721,0.206884,1.46907,0.585137,0.84346455,0.24688582,3.520672,2.6693819,0.122886896,0.7768085,2.9135134,1.3380845,77.0,50.0,52.0
PICADORA,2025-07-14 10:21:21-05:00,0.402769,1.9969,1.61467,0.272834,1.42617,1.00241,0.27512,2.67783,0.63052,0.8383128,0.26716772,3.268983,2.4316127,0.117945835,0.774818,2.8387167,1.2876989,102.0,50.0,51.0
PICADORA,2025-07-14 10:21:31-05:00,0.402554,1.79771,1.78247,0.256761,1.34983,0.962538,0.296736,2.20493,0.623637,0.83316106,0.28744963,3.0172937,2.1938436,0.11300478,0.7728275,2.76392,1.2373133,83.0,50.0,51.0
PICADORA,2025-07-14 10:21:41-05:00,0.43104,2.16583,1.99915,0.275302,1.54673,1.64731,0.360024,2.6926,0.964869,0.82800937,0.30773154,2.7656047,1.9560746,0.10806373,0.770837,2.6891234,1.1869277,99.0,50.0,51.0
PICADORA,2025-07-14 10:21:51-05:00,0.379219,1.29618,1.67411,0.234409,1.14162,1.36422,0.248476,1.51892,0.635628,0.8228576,0.32801345,2.5139155,1.7183055,0.103122674,0.7688465,2.6143267,1.1365421,80.0,50.0,51.0
PICADORA,2025-07-14 10:22:01-05:00,0.375517,1.49695,1.98895,0.237012,1.27297,1.1926,0.231646,1.70697,0.631273,0.8177059,0.34829536,2.2622266,1.4805365,0.09818162,0.76685596,2.53953,1.0861565,77.0,50.0,51.0
PICADORA,2025-07-14 10:22:11-05:00,0.355856,1.16119,2.00076,0.213936,1.15215,1.3595,0.201104,1.38467,0.595354,0.8125542,0.36857727,2.0105374,1.2427673,0.09324057,0.76486546,2.4647334,1.0357709,76.0,50.0,51.0
PICADORA,2025-07-14 10:22:21-05:00,0.378736,1.41617,1.81632,0.22966,1.20453,1.32821,0.244336,1.67242,0.618314,0.80740243,0.38885918,1.7588483,1.0049982,0.088299505,0.76287496,2.3899367,0.98538536,79.0,50.0,51.0
PICADORA,2025-07-14 10:22:31-05:00,0.377368,1.6764,1.95698,0.234839,1.34404,1.25963,0.275416,1.87366,0.508997,0.80225074,0.4091411,1.5071591,0.76722914,0.08335845,0.76088446,2.31514,0.93499976,90.0,50.0,51.0
